c,r,A,orbit,valuations,min_orbit,primitive_period,essential
1805,5,11,"[259,1291,2839,5161,2161]","[1,1,1,3,5]",259,5,True
1805,5,11,"[283,1327,2893,2621,2417]","[1,1,2,2,5]",283,5,True
1805,5,11,"[287,1333,1451,3079,5521]","[1,2,1,1,6]",287,5,True
1805,5,11,"[319,1381,1487,3133,2801]","[1,2,1,2,5]",319,5,True
1805,5,11,"[331,1399,3001,1351,2929]","[1,1,3,1,5]",331,5,True
1805,5,11,"[341,707,1963,3847,6673]","[2,1,1,1,6]",341,5,True
1805,5,11,"[347,1423,3037,2729,1249]","[1,1,2,3,4]",347,5,True
1805,5,11,"[367,1453,1541,1607,3313]","[1,2,2,1,5]",367,5,True
1805,5,11,"[373,731,1999,3901,3377]","[2,1,1,2,5]",373,5,True
1805,5,11,"[383,1477,1559,3241,1441]","[1,2,1,3,4]",383,5,True
1805,5,11,"[421,767,2053,1991,3889]","[2,1,2,1,5]",421,5,True
1805,5,11,"[431,1549,1613,1661,1697]","[1,2,2,2,4]",431,5,True
1805,5,11,"[439,1561,811,2119,4081]","[1,3,1,1,5]",439,5,True
1805,5,11,"[451,1579,3271,5809,601]","[1,1,1,5,3]",451,5,True
1805,5,11,"[491,1639,3361,743,2017]","[1,1,4,1,4]",491,5,True
1805,5,11,"[493,821,1067,2503,4657]","[2,2,1,1,5]",493,5,True
1805,5,11,"[503,1657,847,2173,2081]","[1,3,1,2,4]",503,5,True
1805,5,11,"[511,1669,1703,3457,761]","[1,2,1,4,3]",511,5,True
1805,5,11,"[523,1687,3433,1513,793]","[1,1,3,3,3]",523,5,True
1805,5,11,"[527,1693,1721,871,2209]","[1,2,3,1,4]",527,5,True
1805,5,11,"[557,869,1103,2557,2369]","[2,2,1,2,4]",557,5,True
1805,5,11,"[559,1741,1757,1769,889]","[1,2,2,3,3]",559,5,True
1805,5,11,"[581,887,2233,1063,2497]","[2,1,3,1,4]",581,5,True
1805,5,11,"[599,1801,901,1127,2593]","[1,3,2,1,4]",599,5,True
1805,5,11,"[613,911,2269,2153,1033]","[2,1,2,3,3]",613,5,True
1805,5,11,"[619,1831,3649,797,1049]","[1,1,4,2,3]",619,5,True
1805,5,11,"[631,1849,919,2281,1081]","[1,3,1,3,3]",631,5,True
1805,5,11,"[653,941,1157,1319,2881]","[2,2,2,1,4]",653,5,True
1805,5,11,"[709,983,2377,1117,1289]","[2,1,3,2,3]",709,5,True
1805,5,11,"[727,1993,973,1181,1337]","[1,3,2,2,3]",727,5,True
1805,5,11,"[781,1037,1229,1373,1481]","[2,2,2,2,3]",781,5,True
1805,10,22,"[91,1039,2461,2297,1087,2533,2351,4429,3773,3281]","[1,1,2,3,1,2,1,2,2,7]",91,10,True
1805,10,22,"[137,277,659,1891,3739,6511,10669,8453,6791,11089]","[3,2,1,1,1,1,2,2,1,8]",137,10,True
1805,10,22,"[139,1111,2569,1189,1343,2917,2639,4861,4097,881]","[1,1,3,2,1,2,1,2,4,5]",139,10,True
1805,10,22,"[239,1261,1397,1499,3151,5629,4673,989,1193,673]","[1,2,2,1,1,2,4,2,3,4]",239,10,True
1805,10,22,"[313,343,1417,757,1019,2431,4549,3863,6697,2737]","[3,1,3,2,1,1,2,1,3,5]",313,10,True
1843,9,27,"[1,923,1153,2651,2449,4595,3907,3391,751]","[1,2,1,2,1,2,2,4,12]",1,9,True
1843,9,27,"[151,287,169,1175,671,241,1283,1423,191]","[3,4,1,3,4,1,2,5,4]",151,9,True
1909,7,12,"[2059,4043,7019,11483,18179,28223,43289]","[1,1,1,1,1,1,6]",2059,7,True
1909,7,12,"[2123,4139,7163,11699,18503,28709,22009]","[1,1,1,1,1,2,5]",2123,7,True
1909,7,12,"[2219,4283,7379,12023,18989,14719,23033]","[1,1,1,1,2,1,5]",2219,7,True
1909,7,12,"[2251,4331,7451,12131,19151,29681,11369]","[1,1,1,1,1,3,4]",2251,7,True
1909,7,12,"[2347,4475,7667,12455,19637,15205,11881]","[1,1,1,1,2,2,4]",2347,7,True
1909,7,12,"[2363,4499,7703,12509,9859,15743,24569]","[1,1,1,2,1,1,5]",2363,7,True
1909,7,12,"[2491,4691,7991,12941,10183,16229,12649]","[1,1,1,2,1,2,4]",2491,7,True
1909,7,12,"[2539,4763,8099,13103,20609,7967,12905]","[1,1,1,1,3,1,4]",2539,7,True
1909,7,12,"[2579,4823,8189,6619,10883,17279,26873]","[1,1,2,1,1,1,5]",2579,7,True
1909,7,12,"[2603,4859,8243,13319,20933,16177,6305]","[1,1,1,1,2,3,3]",2603,7,True
1909,7,12,"[2683,4979,8423,13589,10669,8479,13673]","[1,1,1,2,2,1,4]",2683,7,True
1909,7,12,"[2707,5015,8477,6835,11207,17765,13801]","[1,1,2,1,1,2,4]",2707,7,True
1909,7,12,"[2747,5075,8567,13805,10831,17201,6689]","[1,1,1,2,1,3,3]",2747,7,True
1909,7,12,"[2795,5147,8675,13967,21905,8453,6817]","[1,1,1,1,3,2,3]",2795,7,True
1909,7,12,"[2899,5303,8909,7159,11693,9247,14825]","[1,1,2,1,2,1,4]",2899,7,True
1909,7,12,"[2903,5309,4459,7643,12419,19583,30329]","[1,2,1,1,1,1,5]",2903,7,True
1909,7,12,"[2939,5363,8999,14453,11317,8965,7201]","[1,1,1,2,2,2,3]",2939,7,True
1909,7,12,"[2963,5399,9053,7267,11855,18737,7265]","[1,1,2,1,1,3,3]",2963,7,True
1909,7,12,"[2971,5411,9071,14561,5699,9503,15209]","[1,1,1,3,1,1,4]",2971,7,True
1909,7,12,"[3019,5483,9179,14723,23039,35513,3389]","[1,1,1,1,1,5,2]",3019,7,True
1909,7,12,"[3031,5501,4603,7859,12743,20069,15529]","[1,2,1,1,1,2,4]",3031,7,True
1909,7,12,"[3115,5627,9395,15047,23525,18121,3517]","[1,1,1,1,2,4,2]",3115,7,True
1909,7,12,"[3155,5687,9485,7591,12341,9733,7777]","[1,1,2,1,2,2,3]",3155,7,True
1909,7,12,"[3179,5723,9539,15263,23849,4591,7841]","[1,1,1,1,4,1,3]",3179,7,True
1909,7,12,"[3187,5735,9557,7645,6211,10271,16361]","[1,1,2,2,1,1,4]",3187,7,True
1909,7,12,"[3223,5789,4819,8183,13229,10399,16553]","[1,2,1,1,2,1,4]",3223,7,True
1909,7,12,"[3227,5795,9647,15425,6023,9989,7969]","[1,1,1,3,1,2,3]",3227,7,True
1909,7,12,"[3259,5843,9719,15533,12127,19145,3709]","[1,1,1,2,1,4,2]",3259,7,True
1909,7,12,"[3287,5885,4891,8291,13391,21041,8129]","[1,2,1,1,1,3,3]",3287,7,True
1909,7,12,"[3307,5915,9827,15695,24497,9425,3773]","[1,1,1,1,3,3,2]",3307,7,True
1909,7,12,"[3323,5939,9863,15749,12289,4847,8225]","[1,1,1,2,3,1,3]",3323,7,True
1909,7,12,"[3443,6119,10133,8077,6535,10757,8545]","[1,1,2,2,1,2,3]",3443,7,True
1909,7,12,"[3451,6131,10151,16181,12613,9937,3965]","[1,1,1,2,2,3,2]",3451,7,True
1909,7,12,"[3475,6167,10205,8131,13151,20681,3997]","[1,1,2,1,1,4,2]",3475,7,True
1909,7,12,"[3479,6173,5107,8615,13877,10885,8641]","[1,2,1,1,2,2,3]",3479,7,True
1909,7,12,"[3511,6221,5143,8669,6979,11423,18089]","[1,2,1,2,1,1,4]",3511,7,True
1909,7,12,"[3539,6263,10349,8239,13313,5231,8801]","[1,1,2,1,3,1,3]",3539,7,True
1909,7,12,"[3619,6383,10529,4187,7235,11807,18665]","[1,1,3,1,1,1,4]",3619,7,True
1909,7,12,"[3667,6455,10637,8455,13637,10705,4253]","[1,1,2,1,2,3,2]",3667,7,True
1909,7,12,"[3691,6491,10691,16991,26441,5077,4285]","[1,1,1,1,4,2,2]",3691,7,True
1909,7,12,"[3739,6563,10799,17153,6671,10961,4349]","[1,1,1,3,1,3,2]",3739,7,True
1909,7,12,"[3767,6605,5431,9101,7303,11909,9409]","[1,2,1,2,1,2,3]",3767,7,True
1909,7,12,"[3799,6653,5467,9155,14687,22985,4429]","[1,2,1,1,1,4,2]",3799,7,True
1909,7,12,"[3827,6695,10997,8725,7021,5743,9569]","[1,1,2,2,2,1,3]",3827,7,True
1909,7,12,"[3835,6707,11015,17477,13585,5333,4477]","[1,1,1,2,3,2,2]",3835,7,True
1909,7,12,"[3863,6749,5539,9263,14849,5807,9665]","[1,2,1,1,3,1,3]",3863,7,True
1909,7,12,"[3875,6767,11105,4403,7559,12293,9697]","[1,1,3,1,1,2,3]",3875,7,True
1909,7,12,"[3943,6869,5629,4699,8003,12959,20393]","[1,2,2,1,1,1,4]",3943,7,True
1909,7,12,"[3955,6887,11285,8941,7183,11729,4637]","[1,1,2,2,1,3,2]",3955,7,True
1909,7,12,"[3991,6941,5683,9479,15173,11857,4685]","[1,2,1,1,2,3,2]",3991,7,True
1909,7,12,"[4051,7031,11501,9103,14609,5717,4765]","[1,1,2,1,3,2,2]",4051,7,True
1909,7,12,"[4123,7139,11663,18449,7157,5845,4861]","[1,1,1,3,2,2,2]",4123,7,True
1909,7,12,"[4151,7181,5863,9749,7789,6319,10433]","[1,2,1,2,2,1,3]",4151,7,True
1909,7,12,"[4199,7253,5917,4915,8327,13445,10561]","[1,2,2,1,1,2,3]",4199,7,True
1909,7,12,"[4259,7343,11969,4727,8045,6511,10721]","[1,1,3,1,2,1,3]",4259,7,True
1909,7,12,"[4279,7373,6007,9965,7951,12881,5069]","[1,2,1,2,1,3,2]",4279,7,True
1909,7,12,"[4339,7463,12149,9589,7669,6229,5149]","[1,1,2,2,2,2,2]",4339,7,True
1909,7,12,"[4375,7517,6115,10127,16145,6293,5197]","[1,2,1,1,3,2,2]",4375,7,True
1909,7,12,"[4387,7535,12257,4835,8207,13265,5213]","[1,1,3,1,1,3,2]",4387,7,True
1909,7,12,"[4583,7829,6349,5239,8813,7087,11585]","[1,2,2,1,2,1,3]",4583,7,True
1909,7,12,"[4663,7949,6439,10613,8437,6805,5581]","[1,2,1,2,2,2,2]",4663,7,True
1909,7,12,"[4711,8021,6493,5347,8975,14417,5645]","[1,2,2,1,1,3,2]",4711,7,True
1909,7,12,"[4771,8111,13121,5159,8693,6997,5725]","[1,1,3,1,2,2,2]",4771,7,True
1909,7,12,"[5095,8597,6925,5671,9461,7573,6157]","[1,2,2,1,2,2,2]",5095,7,True
1955,8,20,"[53,1057,2563,2411,2297,4423,1903,479]","[1,1,2,2,1,3,4,6]",53,8,True
1955,8,20,"[97,1123,1331,1487,401,1579,1673,3487]","[1,2,2,4,1,2,1,7]",97,8,True
1955,8,20,"[107,569,1831,931,1187,1379,1523,1631]","[2,1,3,2,2,2,2,6]",107,8,True
1955,8,20,"[133,1177,2743,1273,2887,1327,371,767]","[1,1,3,1,3,4,2,5]",133,8,True
1955,8,20,"[169,1231,353,1507,1619,1703,883,1151]","[1,4,1,2,2,3,2,5]",169,8,True
1955,8,20,"[227,659,983,613,1897,3823,839,559]","[2,2,3,1,1,4,3,4]",227,8,True
1955,8,20,"[257,1363,1511,811,1097,2623,307,719]","[1,2,3,2,1,5,2,4]",257,8,True
1955,8,20,"[263,343,373,1537,3283,2951,1351,751]","[3,3,1,1,2,3,3,4]",263,8,True
1955,8,20,"[311,361,1519,407,397,1573,3337,5983]","[3,1,4,3,1,1,1,6]",311,8,True
1967,4,11,"[65,1081,2605,4891]","[1,1,1,8]",65,4,True
1967,4,11,"[73,1093,2623,2459]","[1,1,2,7]",73,4,True
1967,4,11,"[85,1111,1325,2971]","[1,2,1,7]",85,4,True
1967,4,11,"[89,1117,2659,1243]","[1,1,3,6]",89,4,True
1967,4,11,"[101,1135,1343,1499]","[1,2,2,6]",101,4,True
1967,4,11,"[103,569,1837,3739]","[2,1,1,7]",103,4,True
1967,4,11,"[121,1165,2731,635]","[1,1,4,5]",121,4,True
1967,4,11,"[125,1171,685,2011]","[1,3,1,6]",125,4,True
1967,4,11,"[143,599,941,2395]","[2,2,1,6]",143,4,True
1967,4,11,"[151,605,1891,955]","[2,1,3,5]",151,4,True
1967,4,11,"[157,1219,703,1019]","[1,3,2,5]",157,4,True
1967,4,11,"[179,313,1453,3163]","[3,1,1,6]",179,4,True
1967,4,11,"[185,1261,2875,331]","[1,1,5,4]",185,4,True
1967,4,11,"[197,1279,1451,395]","[1,2,4,4]",197,4,True
1967,4,11,"[205,1291,365,1531]","[1,4,1,5]",205,4,True
1967,4,11,"[211,325,1471,1595]","[3,1,2,5]",211,4,True
1967,4,11,"[215,653,1963,491]","[2,1,4,4]",215,4,True
1967,4,11,"[221,1315,739,523]","[1,3,3,4]",221,4,True
1967,4,11,"[223,659,493,1723]","[2,3,1,5]",223,4,True
1967,4,11,"[239,671,995,619]","[2,2,3,4]",239,4,True
1967,4,11,"[269,1387,383,779]","[1,4,2,4]",269,4,True
1967,4,11,"[275,349,1507,811]","[3,1,3,4]",275,4,True
1967,4,11,"[323,367,767,1067]","[3,2,2,4]",323,4,True
1967,4,11,"[397,1579,419,403]","[1,4,3,3]",397,4,True
1967,4,11,"[415,803,547,451]","[2,3,3,3]",415,4,True
1967,8,22,"[23,509,1747,901,2335,2243,1087,1307]","[2,1,3,1,2,3,2,8]",23,8,True
1967,8,22,"[29,1027,631,965,2431,2315,557,1819]","[1,3,2,1,2,4,1,8]",29,8,True
1967,8,22,"[47,527,887,1157,2719,2531,1195,347]","[2,2,2,1,2,3,4,6]",47,8,True
1991,10,20,"[223,665,1993,3985,6973,11455,9089,14629,22939,8851]","[2,1,1,1,1,2,1,1,3,7]",223,10,True
1991,10,20,"[281,1417,3121,5677,9511,7631,6221,10327,8243,835]","[1,1,1,1,2,2,1,2,5,4]",281,10,True
1991,10,20,"[329,1489,3229,5839,4877,8311,6731,2773,5155,1091]","[1,1,1,2,1,2,3,1,4,4]",329,10,True
1991,10,20,"[383,785,2173,4255,3689,6529,10789,17179,6691,1379]","[2,1,1,2,1,1,1,3,4,4]",383,10,True
1991,10,20,"[401,1597,3391,3041,5557,9331,937,2401,4597,7891]","[1,1,2,1,1,5,1,1,1,6]",401,10,True
1991,10,20,"[485,1723,895,1169,2749,5119,4337,7501,12247,9683]","[1,3,2,1,1,2,1,1,2,6]",485,10,True
1991,10,20,"[511,881,2317,4471,3851,1693,3535,3149,5719,4787]","[2,1,1,2,3,1,2,1,2,5]",511,10,True
1991,10,20,"[541,1807,1853,3775,3329,5989,9979,3991,3491,779]","[1,2,1,2,1,1,3,2,4,3]",541,10,True
1991,10,20,"[553,1825,3733,6595,1361,3037,5551,4661,7987,811]","[1,1,1,4,1,1,2,1,5,3]",553,10,True
1991,10,20,"[653,1975,1979,991,1241,2857,5281,8917,14371,2819]","[1,2,3,2,1,1,1,1,4,4]",653,10,True
1991,10,20,"[685,2023,2015,2009,4009,7009,11509,18259,887,1163]","[1,2,2,1,1,1,1,6,2,3]",685,10,True
1991,10,20,"[703,1025,2533,4795,2047,2033,4045,7063,5795,1211]","[2,1,1,3,2,1,1,2,4,3]",703,10,True
1991,10,20,"[769,2149,4219,1831,1871,1901,3847,3383,3035,1387]","[1,1,3,2,2,1,2,2,3,3]",769,10,True
1991,10,20,"[829,2239,2177,4261,7387,3019,1381,3067,1399,1547]","[1,2,1,1,3,3,1,3,2,3]",829,10,True
1991,10,20,"[901,2347,1129,2689,5029,8539,3451,1543,1655,1739]","[1,3,1,1,1,3,3,2,2,3]",901,10,True
1991,10,20,"[1037,2551,2411,1153,2725,5083,2155,1057,2581,4867]","[1,2,3,1,1,3,3,1,1,4]",1037,10,True
2021,3,11,"[19,1039,2569]","[1,1,9]",19,3,True
2021,3,11,"[23,1045,1289]","[1,2,8]",23,3,True
2021,3,11,"[29,527,1801]","[2,1,8]",29,3,True
2021,3,11,"[31,1057,649]","[1,3,7]",31,3,True
2021,3,11,"[37,533,905]","[2,2,7]",37,3,True
2021,3,11,"[49,271,1417]","[3,1,7]",49,3,True
2021,3,11,"[53,545,457]","[2,3,6]",53,3,True
2021,3,11,"[65,277,713]","[3,2,6]",65,3,True
2021,3,11,"[79,1129,169]","[1,5,5]",79,3,True
2021,3,11,"[85,569,233]","[2,4,5]",85,3,True
2021,3,11,"[89,143,1225]","[4,1,6]",89,3,True
2021,3,11,"[97,289,361]","[3,3,5]",97,3,True
2021,3,11,"[121,149,617]","[4,2,5]",121,3,True
2021,3,11,"[161,313,185]","[3,4,4]",161,3,True
2039,2,11,"[5,1027]","[1,10]",5,2,True
2039,2,11,"[7,515]","[2,9]",7,2,True
2039,2,11,"[11,259]","[3,8]",11,2,True
2039,2,11,"[19,131]","[4,7]",19,2,True
2039,2,11,"[35,67]","[5,6]",35,2,True
2045,1,11,[1],[11],1,1,True
2075,6,22,"[1,1039,649,2011,2027,2039]","[1,3,1,2,2,13]",1,6,True
2075,6,22,"[7,131,617,1963,1991,503]","[4,2,1,2,4,9]",7,6,True
2129,8,22,"[49,569,959,2503,4819,8293,211,1381]","[2,2,1,1,1,7,1,7]",49,8,True
2129,8,22,"[53,143,1279,2983,5539,9373,3781,421]","[4,1,1,1,1,3,5,6]",53,8,True
2129,8,22,"[83,1189,89,599,1963,4009,3539,6373]","[1,6,2,1,1,2,1,8]",83,8,True
2191,6,24,"[11,139,163,335,799,1147]","[4,4,3,2,2,9]",11,6,True
2275,12,24,"[349,1661,3629,6581,11009,17651,13807,2731,2617,5063,2183,1103]","[1,1,1,1,1,2,4,2,1,3,3,4]",349,12,True
2275,12,24,"[373,1697,3683,3331,3067,2869,5441,9299,7543,3113,5807,1231]","[1,1,2,2,2,1,1,2,3,1,4,4]",373,12,True
2275,12,24,"[421,1769,3791,853,2417,4763,4141,7349,12161,19379,15103,1487]","[1,1,4,1,1,2,1,1,1,2,5,4]",421,12,True
2275,12,24,"[509,1901,3989,7121,11819,9433,15287,6017,10163,8191,839,599]","[1,1,1,1,2,1,3,1,2,5,3,3]",509,12,True
2275,12,24,"[517,1913,4007,1787,1909,4001,7139,5923,5011,4327,1907,1999]","[1,1,3,2,1,1,2,2,2,3,2,4]",517,12,True
2275,12,24,"[601,2039,1049,2711,1301,3089,5771,4897,8483,6931,5767,2447]","[1,3,1,3,1,1,2,1,2,2,3,4]",601,12,True
2275,12,24,"[781,2309,4601,8039,3299,3043,2851,2707,2599,1259,1513,3407]","[1,1,1,3,2,2,2,2,3,2,1,4]",781,12,True
2275,12,24,"[899,1243,1501,3389,6221,10469,16841,26399,1273,3047,1427,1639]","[2,2,1,1,1,1,1,6,1,3,2,3]",899,12,True
2291,10,22,"[101,1297,3091,2891,2741,5257,9031,3673,6655,1391]","[1,1,2,2,1,1,3,1,4,6]",101,10,True
2291,10,22,"[133,1345,3163,2945,5563,4745,8263,3385,6223,655]","[1,1,2,1,2,1,3,1,5,5]",133,10,True
2291,10,22,"[187,713,2215,1117,2821,5377,9211,7481,12367,1231]","[2,1,3,1,1,1,2,1,5,5]",187,10,True
2291,10,22,"[227,743,565,1993,4135,1837,3901,6997,11641,18607]","[2,3,1,1,3,1,1,1,1,8]",227,10,True
2291,10,22,"[263,385,1723,1865,3943,1765,3793,6835,5699,4847]","[3,1,2,1,3,1,1,2,2,6]",263,10,True
2291,10,22,"[277,1561,3487,797,2341,4657,8131,6671,697,2191]","[1,1,4,1,1,1,2,5,1,5]",277,10,True
2291,10,22,"[281,1567,437,1801,3847,1729,3739,3377,6211,5231]","[1,4,1,1,3,1,2,1,2,6]",281,10,True
2291,10,22,"[359,421,1777,3811,3431,1573,3505,6403,5375,1151]","[3,1,1,2,3,1,1,2,4,4]",359,10,True
2329,4,14,"[19,1193,1477,845]","[1,2,3,8]",19,4,True
2329,4,14,"[25,601,1033,1357]","[2,2,2,8]",25,4,True
2329,4,14,"[37,305,811,2381]","[3,2,1,8]",37,4,True
2329,4,14,"[41,613,521,973]","[2,3,2,7]",41,4,True
2329,4,14,"[49,619,2093,269]","[2,1,5,6]",49,4,True
2329,4,14,"[73,637,265,781]","[2,4,2,6]",73,4,True
2329,4,14,"[83,1289,1549,109]","[1,2,6,5]",83,4,True
2329,4,14,"[89,649,1069,173]","[2,2,5,5]",89,4,True
2329,4,14,"[101,329,829,301]","[3,2,4,5]",101,4,True
2329,4,14,"[107,1325,197,365]","[1,5,3,5]",107,4,True
2329,4,14,"[125,169,709,557]","[4,2,3,5]",125,4,True
2347,9,19,"[227,757,2309,4637,8129,13367,2653,5153,8903]","[2,1,1,1,1,4,1,1,7]",227,9,True
2347,9,19,"[301,1625,3611,3295,1529,3467,3187,2977,5639]","[1,1,2,3,1,2,2,1,6]",301,9,True
2347,9,19,"[317,1649,3647,1661,3665,6671,2795,2683,2599]","[1,1,3,1,1,3,2,2,5]",317,9,True
2347,9,19,"[323,829,2417,4799,2093,4313,7643,6319,2663]","[2,1,1,3,1,1,2,3,5]",323,9,True
2347,9,19,"[373,1733,3773,6833,11423,4577,8039,827,1207]","[1,1,1,1,3,1,5,2,4]",373,9,True
2347,9,19,"[403,889,2507,2467,2437,4829,8417,13799,1367]","[2,1,2,2,1,1,1,5,4]",403,9,True
2347,9,19,"[445,1841,3935,1769,3827,3457,6359,1339,1591]","[1,1,3,1,2,1,4,2,4]",445,9,True
2347,9,19,"[467,937,2579,2521,4955,4303,1907,2017,4199]","[2,1,2,1,2,3,2,1,5]",467,9,True
2347,9,19,"[485,1901,4025,7211,5995,5083,4399,1943,511]","[1,1,1,2,2,2,3,4,3]",485,9,True
2347,9,19,"[521,1955,2053,4253,7553,12503,2491,2455,607]","[1,2,1,1,1,4,2,4,3]",521,9,True
2347,9,19,"[547,997,2669,5177,8939,7291,6055,641,2135]","[2,1,1,1,2,2,5,1,4]",547,9,True
2347,9,19,"[557,2009,4187,3727,1691,1855,989,2657,5159]","[1,1,2,3,2,3,1,1,5]",557,9,True
2347,9,19,"[617,2099,2161,4415,1949,4097,7319,1519,863]","[1,2,1,3,1,1,4,3,3]",617,9,True
2347,9,19,"[637,2129,4367,1931,2035,2113,4343,961,2615]","[1,1,3,2,2,1,4,1,4]",637,9,True
2347,9,19,"[643,1069,2777,5339,4591,2015,1049,2747,2647]","[2,1,1,2,3,3,1,2,4]",643,9,True
2347,9,19,"[683,1099,1411,1645,3641,6635,5563,4759,1039]","[2,2,2,1,1,2,2,4,3]",683,9,True
2347,9,19,"[691,1105,2831,1355,1603,1789,3857,6959,2903]","[2,1,3,2,2,1,1,3,4]",691,9,True
2347,9,19,"[701,2225,4511,1985,4151,925,2561,5015,1087]","[1,1,3,1,4,1,1,4,3]",701,9,True
2347,9,19,"[761,2315,2323,2329,4667,4087,913,2543,1247]","[1,2,2,1,2,4,1,3,3]",761,9,True
2347,9,19,"[773,2333,4673,8183,1681,3695,1679,923,1279]","[1,1,1,4,1,3,3,2,3]",773,9,True
2347,9,19,"[779,1171,1465,3371,3115,2923,2779,2671,1295]","[2,2,1,2,2,2,2,3,3]",779,9,True
2359,8,16,"[265,1577,3545,6497,10925,17567,13765,21827]","[1,1,1,1,1,2,1,8]",265,8,True
2359,8,16,"[377,1745,3797,6875,2873,5489,9413,15299]","[1,1,1,3,1,1,1,7]",377,8,True
2359,8,16,"[463,937,2585,5057,8765,14327,11335,9091]","[2,1,1,1,1,2,2,6]",463,8,True
2359,8,16,"[473,1889,4013,7199,5989,10163,2053,4259]","[1,1,1,2,1,4,1,5]",473,8,True
2359,8,16,"[493,1919,2029,4223,3757,6815,5701,9731]","[1,2,1,2,1,2,1,6]",493,8,True
2359,8,16,"[527,985,2657,5165,8927,7285,12107,4835]","[2,1,1,1,2,1,3,5]",527,8,True
2359,8,16,"[577,2045,4247,3775,3421,6311,5323,2291]","[1,1,2,2,1,2,3,4]",577,8,True
2359,8,16,"[593,2069,4283,1901,4031,3613,6599,5539]","[1,1,3,1,2,1,2,5]",593,8,True
2359,8,16,"[617,2105,4337,7685,12707,1265,3077,5795]","[1,1,1,1,5,1,1,5]",617,8,True
2359,8,16,"[649,2153,4409,7793,12869,20483,997,2675]","[1,1,1,1,1,6,1,4]",649,8,True
2359,8,16,"[701,2231,2263,2287,2305,4637,8135,6691]","[1,2,2,2,1,1,2,5]",701,8,True
2359,8,16,"[725,2267,1145,2897,5525,9467,3845,6947]","[1,3,1,1,1,3,1,5]",725,8,True
2359,8,16,"[727,1135,1441,3341,6191,5233,9029,14723]","[2,2,1,1,2,1,1,6]",727,8,True
2359,8,16,"[761,2321,4661,8171,3359,3109,5843,1243]","[1,1,1,3,2,1,4,3]",761,8,True
2359,8,16,"[781,2351,2353,4709,8243,1693,3719,3379]","[1,2,1,1,4,1,2,4]",781,8,True
2359,8,16,"[853,2459,1217,3005,5687,4855,4231,3763]","[1,3,1,1,2,2,2,4]",853,8,True
2359,8,16,"[863,1237,3035,1433,3329,6173,10439,8419]","[2,1,3,1,1,1,2,5]",863,8,True
2359,8,16,"[865,2477,4895,4261,7571,1567,1765,3827]","[1,1,2,1,4,2,1,4]",865,8,True
2359,8,16,"[893,2519,2479,2449,4853,8459,3467,1595]","[1,2,2,1,1,3,3,3]",893,8,True
2359,8,16,"[911,1273,3089,5813,9899,4007,3595,1643]","[2,1,1,1,3,2,3,3]",911,8,True
2359,8,16,"[919,1279,1549,3503,3217,6005,10187,4115]","[2,2,1,2,1,1,3,4]",919,8,True
2359,8,16,"[941,2591,2533,4979,1081,2801,5381,9251]","[1,2,1,4,1,1,1,5]",941,8,True
2359,8,16,"[943,1297,3125,5867,2495,2461,4871,4243]","[2,1,1,3,2,1,2,4]",943,8,True
2359,8,16,"[977,2645,5147,2225,4517,7955,1639,1819]","[1,1,3,1,1,4,2,3]",977,8,True
2359,8,16,"[1045,2747,1325,3167,2965,5627,2405,4787]","[1,3,1,2,1,3,1,4]",1045,8,True
2359,8,16,"[1073,2789,5363,1153,2909,5543,4747,2075]","[1,1,4,1,1,2,3,3]",1073,8,True
2359,8,16,"[1109,2843,1361,3221,6011,2549,5003,2171]","[1,3,1,1,3,1,3,3]",1109,8,True
2359,8,16,"[1207,1495,1711,1873,3989,7163,2981,5651]","[2,2,2,1,1,3,1,4]",1207,8,True
2359,8,16,"[1301,3131,1469,3383,3127,2935,2791,2683]","[1,3,1,2,2,2,2,3]",1301,8,True
2359,8,16,"[1847,1975,2071,2143,2197,4475,1973,4139]","[2,2,2,2,1,3,1,3]",1847,8,True
2405,12,24,"[187,1483,3427,6343,10717,8639,14161,5611,9619,15631,24649,1193]","[1,1,1,1,2,1,3,1,1,1,6,5]",187,12,True
2405,12,24,"[191,1489,859,2491,4939,8611,14119,22381,17387,27283,42127,64393]","[1,3,1,1,1,1,1,2,1,1,1,10]",191,12,True
2405,12,24,"[359,1741,1907,4063,7297,3037,2879,5521,2371,4759,8341,6857]","[1,2,1,1,3,2,1,3,1,1,2,6]",359,12,True
2405,12,24,"[439,1861,1997,2099,4351,7729,3199,6001,2551,5029,4373,3881]","[1,2,2,1,1,3,1,3,1,2,2,5]",439,12,True
2405,12,24,"[461,947,2623,5137,2227,4543,8017,3307,6163,10447,16873,1657]","[2,1,1,3,1,1,3,1,1,1,5,4]",461,12,True
2405,12,24,"[551,2029,2123,4387,7783,12877,10259,16591,26089,2521,623,2137]","[1,2,1,1,1,2,1,1,5,4,1,4]",551,12,True
2405,12,24,"[571,2059,4291,7639,12661,10097,4087,7333,6101,5177,1121,721]","[1,1,1,1,2,3,1,2,2,4,3,3]",571,12,True
2405,12,24,"[581,1037,1379,3271,6109,5183,8977,3667,6703,11257,2261,2297]","[2,2,1,1,2,1,3,1,1,4,2,4]",581,12,True
2405,12,24,"[653,1091,2839,5461,4697,1031,2749,2663,5197,4499,7951,13129]","[2,1,1,2,4,1,2,1,2,1,1,6]",653,12,True
2405,12,24,"[869,1253,1541,1757,1919,4081,1831,3949,3563,6547,11023,17737]","[2,2,2,2,1,3,1,2,1,1,1,6]",869,12,True
