source_id,source_title,source_version,c,min_orbit,A,r,normalization
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,59,181,10,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,59,185,10,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,59,217,10,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,59,221,10,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,61,1,6,1,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,65,19,24,12,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,71,29,10,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,71,31,10,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,73,5,12,4,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,73,47,15,8,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,83,109,12,7,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,83,157,12,7,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,89,17,17,8,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,91,25,12,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,91,59,12,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,95,17,11,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,95,23,11,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,97,1,18,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,97,13,9,3,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,101,7,14,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,101,11,14,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,101,19,7,3,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,101,23,7,3,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,101,29,7,3,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,101,31,7,3,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,101,37,7,3,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,103,5,21,8,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,113,1,29,12,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,115,13,27,13,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,119,5,7,2,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,119,11,7,2,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,125,1,7,1,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,131,13,26,13,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,131,17,26,13,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,137,1,14,4,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,143,17,16,7,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
